2026/03/17 11:00:50 no config path specified; using /var/lib/derper/derper.key
2026/03/17 11:00:50 STUN server listening on [::]:3478
2026/03/17 11:00:50 No mesh key configured
2026/03/17 11:00:50 derper: serving on :3340 with TLS
2026/03/17 11:00:54 http: TLS handshake error from 10.50.0.2:57520: unexpected EOF
gc 52 @4.172s 0%: 0.18+0.86+0.060 ms clock, 2.2+0.72/0.75/0+0.72 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 53 @4.174s 0%: 0.15+0.65+0.13 ms clock, 1.9+0.73/0.82/0+1.5 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 54 @4.176s 0%: 0.083+0.52+0.069 ms clock, 1.0+0.79/0.74/0+0.83 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 55 @4.178s 0%: 0.11+0.53+0.11 ms clock, 1.3+0.68/0.79/0+1.3 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 56 @4.180s 0%: 0.14+0.91+0.12 ms clock, 1.6+0.80/0.81/0+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 57 @4.183s 0%: 0.078+0.68+0.090 ms clock, 0.94+0.71/0.86/0+1.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 58 @4.185s 0%: 0.086+0.86+0.096 ms clock, 1.0+0.67/0.81/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 59 @4.187s 0%: 0.12+0.78+0.078 ms clock, 1.5+0.80/0.81/0+0.94 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 60 @4.189s 0%: 0.082+1.4+0.068 ms clock, 0.99+0.67/0.75/0+0.81 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 61 @4.193s 0%: 0.11+0.47+0.084 ms clock, 1.3+0.73/0.82/0+1.0 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 62 @4.195s 0%: 0.083+0.93+0.12 ms clock, 1.0+0.81/0.93/0+1.5 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
