2026/03/14 08:05:21 Running in dev mode.
2026/03/14 08:05:21 STUN server listening on [::]:3478
2026/03/14 08:05:21 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 08:05:21 No mesh key configured for --dev mode
2026/03/14 08:05:21 derper: serving on :3340
gc 42 @34.629s 0%: 0.031+0.97+0.002 ms clock, 0.063+0.64/0.34/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 43 @34.647s 0%: 0.011+1.2+0.003 ms clock, 0.022+0.38/0.52/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 44 @34.666s 0%: 0.033+0.92+0.003 ms clock, 0.067+0.71/0.38/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 45 @34.684s 0%: 0.038+0.74+0.003 ms clock, 0.077+0.77/0.34/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 46 @34.702s 0%: 0.017+0.73+0.017 ms clock, 0.035+0.65/0.39/0+0.035 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 47 @34.720s 0%: 0.029+0.83+0.021 ms clock, 0.059+0.61/0.52/0+0.042 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 48 @34.738s 0%: 0.044+0.91+0.012 ms clock, 0.088+0.65/0.47/0+0.024 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 49 @34.757s 0%: 0.017+1.0+0.002 ms clock, 0.034+0.69/0.37/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 50 @34.774s 0%: 0.43+0.34+0.033 ms clock, 0.86+0.39/0.51/0+0.066 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 51 @34.792s 0%: 0.043+0.69+0.028 ms clock, 0.086+0.68/0.40/0+0.056 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 52 @34.809s 0%: 0.040+0.72+0.027 ms clock, 0.081+0.62/0.40/0+0.055 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
