2026/03/15 10:59:31 no config path specified; using /var/lib/derper/derper.key
2026/03/15 10:59:31 STUN server listening on [::]:3478
2026/03/15 10:59:31 No mesh key configured
2026/03/15 10:59:31 derper: serving on :3340 with TLS
2026/03/15 10:59:35 http: TLS handshake error from 10.20.0.20:56496: unexpected EOF
gc 71 @4.229s 0%: 0.13+0.69+0.15 ms clock, 2.1+0.47/1.0/0+2.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 72 @4.231s 0%: 0.14+0.62+0.19 ms clock, 2.3+0.77/1.0/0.003+3.1 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 73 @4.233s 0%: 0.13+0.62+0.10 ms clock, 2.1+0.79/0.90/0.025+1.6 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 74 @4.235s 0%: 0.12+0.62+0.18 ms clock, 1.9+0.47/1.1/0+2.9 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 75 @4.236s 0%: 0.15+0.48+0.17 ms clock, 2.4+0.79/0.86/0+2.7 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 76 @4.238s 0%: 0.26+0.48+0.16 ms clock, 4.2+0.59/0.86/0.047+2.7 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 77 @4.240s 0%: 0.13+0.46+0.18 ms clock, 2.1+0.62/0.89/0.033+2.9 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 78 @4.241s 0%: 0.16+0.91+0.061 ms clock, 2.6+0.68/1.0/0+0.98 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 79 @4.243s 0%: 0.15+0.70+0.090 ms clock, 2.4+0.63/1.0/0.002+1.4 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 80 @4.245s 0%: 0.13+0.64+0.16 ms clock, 2.1+0.73/0.96/0+2.5 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
