2026/03/15 12:56:58 no config path specified; using /var/lib/derper/derper.key
2026/03/15 12:56:58 STUN server listening on [::]:3478
2026/03/15 12:56:58 No mesh key configured
2026/03/15 12:56:58 derper: serving on :3340 with TLS
2026/03/15 12:57:02 http: TLS handshake error from 10.20.0.20:57436: unexpected EOF
gc 77 @4.255s 0%: 0.10+0.83+0.12 ms clock, 0.80+0.66/0.81/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 78 @4.257s 0%: 0.12+0.99+0.24 ms clock, 1.0+0.70/0.70/0+1.9 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 79 @4.260s 0%: 0.15+0.72+0.16 ms clock, 1.2+0.88/0.91/0+1.3 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 80 @4.263s 0%: 0.12+0.81+0.055 ms clock, 0.98+0.71/0.92/0+0.44 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 81 @4.265s 0%: 0.13+0.63+0.10 ms clock, 1.0+0.81/0.78/0+0.85 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 82 @4.268s 0%: 0.14+0.65+0.078 ms clock, 1.1+0.82/0.80/0+0.62 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 83 @4.270s 0%: 0.10+0.58+0.099 ms clock, 0.85+0.81/0.75/0+0.79 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 84 @4.272s 0%: 0.089+1.2+0.067 ms clock, 0.71+0.75/0.70/0+0.54 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 85 @4.276s 0%: 0.10+0.70+0.088 ms clock, 0.84+0.83/0.79/0+0.70 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 86 @4.278s 0%: 0.079+0.63+0.072 ms clock, 0.63+0.72/0.93/0+0.57 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 87 @4.281s 0%: 0.11+0.92+0.079 ms clock, 0.90+0.74/0.77/0+0.63 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 88 @4.284s 0%: 0.14+0.66+0.096 ms clock, 1.1+0.84/0.73/0+0.77 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 89 @4.286s 0%: 0.083+0.54+0.088 ms clock, 0.66+0.86/0.67/0+0.70 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 90 @4.289s 0%: 0.078+0.70+0.078 ms clock, 0.62+0.68/0.82/0+0.62 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 91 @4.291s 0%: 0.10+0.73+0.088 ms clock, 0.84+0.60/0.82/0+0.71 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 92 @4.294s 0%: 0.12+0.60+0.085 ms clock, 0.97+0.68/0.81/0+0.68 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 93 @4.296s 0%: 0.094+0.88+0.084 ms clock, 0.75+0.75/0.68/0+0.67 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 94 @4.299s 0%: 0.10+0.49+0.16 ms clock, 0.87+0.74/0.69/0+1.3 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 95 @4.301s 0%: 0.11+0.60+0.077 ms clock, 0.93+0.83/0.87/0+0.62 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 96 @4.304s 0%: 0.10+0.66+0.094 ms clock, 0.87+0.85/0.77/0+0.75 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 97 @4.306s 0%: 0.10+0.62+0.11 ms clock, 0.87+0.75/0.78/0+0.91 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 98 @4.309s 0%: 0.16+0.78+0.11 ms clock, 1.3+0.77/0.85/0+0.93 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 99 @4.311s 0%: 0.14+0.62+0.071 ms clock, 1.1+0.82/0.81/0+0.57 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 100 @4.314s 0%: 0.13+0.95+0.069 ms clock, 1.0+1.4/0.75/0+0.55 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 101 @4.316s 0%: 0.12+0.63+0.083 ms clock, 1.0+0.80/0.82/0+0.66 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
