2026/03/17 14:45:18 no config path specified; using /var/lib/derper/derper.key
2026/03/17 14:45:18 STUN server listening on [::]:3478
2026/03/17 14:45:18 No mesh key configured
2026/03/17 14:45:18 derper: serving on :3340 with TLS
2026/03/17 14:45:22 http: TLS handshake error from 10.50.0.2:45054: unexpected EOF
gc 79 @4.718s 0%: 0.054+0.28+0.069 ms clock, 1.0+0.22/0.69/0+1.3 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 80 @4.719s 0%: 0.074+0.37+0.025 ms clock, 1.4+0.25/0.67/0.017+0.51 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 81 @4.720s 0%: 0.044+0.38+0.073 ms clock, 0.88+0.46/0.49/0.006+1.4 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 82 @4.721s 0%: 0.041+0.27+0.065 ms clock, 0.82+0.20/0.60/0.13+1.3 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 83 @4.722s 0%: 0.057+0.40+0.075 ms clock, 1.1+0.19/0.71/0.076+1.5 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 84 @4.723s 0%: 0.071+0.33+0.031 ms clock, 1.4+0.30/0.60/0+0.62 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 85 @4.725s 0%: 0.068+0.29+0.080 ms clock, 1.3+0.38/0.55/0.053+1.6 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 86 @4.726s 0%: 0.075+0.40+0.053 ms clock, 1.5+0.32/0.65/0.030+1.0 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 87 @4.727s 0%: 0.079+0.37+0.064 ms clock, 1.5+0.42/0.61/0+1.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 88 @4.728s 0%: 0.081+0.40+0.043 ms clock, 1.6+0.27/0.61/0.18+0.87 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 89 @4.729s 0%: 0.064+0.28+0.080 ms clock, 1.2+0.27/0.64/0.072+1.6 ms cpu, 4->4->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 90 @4.730s 0%: 0.073+0.58+0.020 ms clock, 1.4+0.32/0.71/0.035+0.40 ms cpu, 3->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 91 @4.732s 0%: 0.062+0.31+0.051 ms clock, 1.2+0.30/0.54/0.024+1.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 92 @4.733s 0%: 0.061+0.44+0.047 ms clock, 1.2+0.40/0.68/0+0.94 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 93 @4.734s 0%: 0.040+0.33+0.009 ms clock, 0.80+0.30/0.55/0.079+0.18 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 94 @4.735s 0%: 0.041+0.29+0.073 ms clock, 0.83+0.30/0.59/0.047+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 95 @4.736s 0%: 0.082+0.42+0.065 ms clock, 1.6+0.35/0.61/0+1.3 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 96 @4.738s 0%: 0.079+0.39+0.037 ms clock, 1.5+0.29/0.62/0+0.74 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 97 @4.739s 0%: 0.056+0.51+0.006 ms clock, 1.1+0.32/0.57/0+0.13 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 98 @4.740s 0%: 0.060+0.27+0.021 ms clock, 1.2+0.34/0.57/0.023+0.42 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
