timestamp,total_cpu_pct,hd_cpu_pct,ts_cpu_pct
1773416229,59.9,74.3,0.00.0
1773416230,63.3,74.7,0.00.0
1773416231,50.4,74.0,0.00.0
1773416232,50.0,73.3,0.00.0
1773416233,50.1,72.7,0.00.0
1773416234,49.8,72.0,0.00.0
1773416235,74.4,72.7,0.00.0
1773416236,77.0,73.5,0.00.0
1773416237,75.4,74.3,0.00.0
1773416238,72.2,75.1,0.00.0
1773416239,75.1,75.8,0.00.0
1773416240,72.1,76.5,0.00.0
1773416241,68.8,77.3,0.00.0
1773416242,65.1,78.0,0.00.0
1773416243,72.6,78.6,0.00.0
1773416244,74.6,79.3,0.00.0
1773416245,69.2,80.0,0.00.0
1773416246,73.1,80.7,0.00.0
1773416247,73.9,81.3,0.00.0
1773416248,65.3,81.5,0.00.0
1773416249,50.5,80.9,0.00.0
1773416250,50.1,80.3,0.00.0
1773416251,50.2,79.7,0.00.0
1773416252,55.3,79.4,0.00.0
1773416253,69.4,79.9,0.00.0
1773416254,72.4,80.4,0.00.0
1773416255,74.2,80.9,0.00.0
1773416257,70.1,81.5,0.00.0
1773416258,75.8,82.0,0.00.0
1773416259,60.7,82.5,0.00.0
1773416260,70.2,83.0,0.00.0
1773416261,70.6,83.5,0.00.0
1773416262,74.9,83.9,0.00.0
1773416263,72.1,84.4,0.00.0
1773416264,68.8,84.9,0.00.0
1773416265,66.0,85.4,0.00.0
1773416266,69.5,85.8,0.00.0
1773416267,43.4,85.6,0.00.0
1773416268,50.1,85.0,0.00.0
1773416269,50.0,84.5,0.00.0
1773416270,50.2,83.9,0.00.0
1773416271,64.0,83.9,0.00.0
1773416272,76.2,84.3,0.00.0
1773416273,69.2,84.8,0.00.0
1773416274,68.9,85.3,0.00.0
1773416275,71.5,85.7,0.00.0
1773416276,71.5,86.1,0.00.0
1773416277,74.9,86.6,0.00.0
1773416278,75.3,87.0,0.00.0
1773416279,75.3,87.4,0.00.0
1773416280,74.2,87.7,0.00.0
1773416281,76.2,88.1,0.00.0
1773416282,61.7,88.5,0.00.0
1773416283,67.8,89.0,0.00.0
1773416284,74.7,89.4,0.00.0
1773416285,51.7,88.8,0.00.0
1773416286,25.2,88.3,0.00.0
1773416287,47.8,87.8,0.00.0
1773416288,50.4,87.3,0.00.0
1773416289,77.0,87.6,0.00.0
1773416290,76.0,88.1,0.00.0
1773416291,82.2,88.6,0.00.0
1773416292,77.7,89.1,0.00.0
1773416293,58.6,89.5,0.00.0
1773416295,78.4,90.0,0.00.0
1773416296,81.7,90.4,0.00.0
1773416297,72.6,90.9,0.00.0
1773416298,78.4,91.3,0.00.0
1773416299,80.2,91.8,0.00.0
1773416300,74.9,92.2,0.00.0
1773416301,79.2,92.7,0.00.0
1773416302,56.0,93.0,0.00.0
1773416303,65.2,93.2,0.00.0
1773416304,43.8,92.7,0.00.0
1773416305,32.0,92.2,0.00.0
1773416306,50.2,91.7,0.00.0
1773416307,54.4,91.4,0.00.0
1773416308,72.0,91.9,0.00.0
1773416309,80.5,92.3,0.00.0
1773416310,83.7,92.8,0.00.0
1773416311,81.7,93.2,0.00.0
1773416312,81.2,93.6,0.00.0
1773416313,79.8,94.0,0.00.0
1773416314,80.3,94.4,0.00.0
1773416315,67.6,94.8,0.00.0
1773416316,81.9,95.3,0.00.0
1773416317,78.8,95.7,0.00.0
1773416318,83.3,96.1,0.00.0
1773416319,75.2,96.5,0.00.0
1773416320,79.4,96.9,0.00.0
1773416321,57.4,96.6,0.00.0
1773416322,50.5,96.1,0.00.0
1773416323,50.0,95.7,0.00.0
1773416324,50.1,95.2,0.00.0
1773416325,68.2,95.3,0.00.0
1773416326,84.0,95.8,0.00.0
1773416328,82.4,96.2,0.00.0
1773416329,83.3,96.5,0.00.0
1773416330,76.3,96.9,0.00.0
1773416331,81.6,97.3,0.00.0
1773416332,79.8,97.7,0.00.0
1773416333,79.4,98.1,0.00.0
1773416334,80.1,98.5,0.00.0
