2026/03/14 04:30:22 Running in dev mode.
2026/03/14 04:30:22 STUN server listening on [::]:3478
2026/03/14 04:30:22 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 04:30:22 No mesh key configured for --dev mode
2026/03/14 04:30:22 derper: serving on :3340
gc 45 @34.082s 0%: 0.074+0.75+0.028 ms clock, 0.29+0.16/0.56/0+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 46 @34.087s 0%: 0.050+1.0+0.035 ms clock, 0.20+1.0/0.011/0+0.14 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 47 @34.091s 0%: 0.031+0.73+0.073 ms clock, 0.12+0.76/0.59/0+0.29 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 48 @34.096s 0%: 0.051+1.0+0.003 ms clock, 0.20+0.91/0.18/0+0.014 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 49 @34.101s 0%: 0.047+1.2+0.065 ms clock, 0.19+0.53/1.1/0+0.26 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 50 @34.106s 0%: 0.087+1.3+0.072 ms clock, 0.34+0.55/0.50/0+0.29 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 51 @34.112s 0%: 0.23+0.89+0.019 ms clock, 0.94+0.75/1.0/0+0.078 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 52 @34.117s 0%: 1.1+0.13+0.023 ms clock, 4.5+0.63/1.1/0+0.095 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 53 @34.122s 0%: 0.083+0.74+0.052 ms clock, 0.33+1.2/0.48/0+0.20 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 54 @34.127s 0%: 0.049+0.68+0.023 ms clock, 0.19+0.66/0.49/0+0.094 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 55 @34.132s 0%: 0.043+1.0+0.040 ms clock, 0.17+0.46/0.52/0+0.16 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 56 @34.137s 0%: 0.065+0.77+0.081 ms clock, 0.26+0.46/0.62/0+0.32 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 57 @34.142s 0%: 0.055+0.59+0.021 ms clock, 0.22+0.59/0.50/0+0.087 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 58 @34.146s 0%: 0.046+1.9+0.006 ms clock, 0.18+0.59/0.50/0+0.025 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 59 @34.152s 0%: 0.12+0.85+0.029 ms clock, 0.50+0.73/0.72/0+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 60 @34.157s 0%: 0.37+0.84+0.026 ms clock, 1.4+0.49/1.0/0.022+0.10 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 61 @34.162s 0%: 0.040+0.89+0.005 ms clock, 0.16+0.94/0.11/0+0.020 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 62 @34.167s 0%: 0.065+0.62+0.055 ms clock, 0.26+0.80/0.45/0+0.22 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 63 @34.172s 0%: 0.097+1.5+0.036 ms clock, 0.39+0.84/0.84/0+0.14 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 64 @34.177s 0%: 0.076+1.2+0.023 ms clock, 0.30+0.61/1.1/0+0.095 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 65 @34.182s 0%: 0.099+1.5+0.064 ms clock, 0.39+0.26/0.69/0+0.25 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 66 @34.187s 0%: 0.059+0.74+0.037 ms clock, 0.23+0.57/0.57/0+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 67 @34.192s 0%: 0.30+1.5+0.011 ms clock, 1.2+0.40/0.85/0+0.044 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 68 @34.197s 0%: 0.059+0.60+0.025 ms clock, 0.23+0.71/0.49/0+0.10 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 69 @34.202s 0%: 0.30+1.9+0.064 ms clock, 1.2+0.26/0.96/0+0.25 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 70 @34.207s 0%: 0.082+0.93+0.039 ms clock, 0.32+0.72/0.68/0+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 71 @34.212s 0%: 0.029+0.63+0.042 ms clock, 0.11+0.85/0.47/0+0.16 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 72 @34.217s 0%: 0.078+1.1+0.024 ms clock, 0.31+0.63/0.57/0+0.096 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 73 @34.222s 0%: 0.053+1.0+0.039 ms clock, 0.21+0.79/0.94/0+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 74 @34.227s 0%: 0.059+0.79+0.044 ms clock, 0.23+0.81/0.64/0+0.17 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 75 @34.232s 0%: 0.078+1.9+0.030 ms clock, 0.31+0.39/0.65/0+0.12 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 76 @34.238s 0%: 0.053+1.0+0.003 ms clock, 0.21+0.50/0.43/0+0.014 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 77 @34.243s 0%: 0.28+1.6+0.029 ms clock, 1.1+0.31/1.0/0+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 78 @34.248s 0%: 0.050+2.2+0.028 ms clock, 0.20+0.51/0.55/0+0.11 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 79 @34.253s 0%: 0.093+1.1+0.029 ms clock, 0.37+0.94/1.0/0+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 80 @34.258s 0%: 0.088+1.0+0.077 ms clock, 0.35+0.48/0.63/0+0.30 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 81 @34.263s 0%: 0.066+1.4+0.024 ms clock, 0.26+0.54/0.51/0+0.097 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 82 @34.269s 0%: 0.084+1.2+0.012 ms clock, 0.33+1.0/0.038/0+0.048 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 83 @34.274s 0%: 0.098+2.0+0.003 ms clock, 0.39+0.27/0.61/0+0.015 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 84 @34.279s 0%: 0.063+0.56+0.042 ms clock, 0.25+0.70/0.44/0+0.16 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 85 @34.284s 0%: 0.050+0.58+0.073 ms clock, 0.20+0.83/0.46/0+0.29 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 86 @34.289s 0%: 1.5+0.21+0.029 ms clock, 6.0+0.45/1.5/0+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 87 @34.294s 0%: 0.27+0.82+0.039 ms clock, 1.0+0.63/0.75/0+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
